,cell_line,compound,concentration,well_tech,replicate,TimePoint,siRNA,obj_cell_count,AnVPos_0,AnVPos_0.1,PIPos_0,PIPos_0.1,REP_si_conc
143,HepG2,DMSO,0.2,1,R1,24,mock,785,0.231339595,0.230845279,0.036579338,0.036085022,R1_mock_0.2
144,HepG2,DMSO,0.2,1,R1,24,siKinasePool,775,0.300675676,0.299710425,0.029440154,0.029440154,R1_siKinasePool_0.2
145,HepG2,DMSO,0.2,1,R1,25,siGCLC,590,0.344430993,0.341404358,0.037530266,0.037530266,R1_siGCLC_0.2
146,HepG2,DMSO,0.2,1,R1,25,siGCLM,673,0.335963923,0.333709132,0.034949267,0.034385569,R1_siGCLM_0.2
147,HepG2,DMSO,0.2,1,R1,25,siKEAP1,600,0.358161648,0.356576862,0.067353407,0.067353407,R1_siKEAP1_0.2
148,HepG2,DMSO,0.2,1,R1,25,siNFE2L2,891,0.291275797,0.290337711,0.018761726,0.018761726,R1_siNFE2L2_0.2
149,HepG2,DMSO,0.2,1,R1,25,mock,802,0.241871921,0.24137931,0.036945813,0.036453202,R1_mock_0.2
150,HepG2,DMSO,0.2,1,R1,25,siKinasePool,776,0.307326356,0.306374881,0.029019981,0.029019981,R1_siKinasePool_0.2
151,HepG2,DMSO,0.2,1,R1,26,siGCLC,599,0.358535145,0.356172475,0.038984052,0.038984052,R1_siGCLC_0.2
152,HepG2,DMSO,0.2,1,R1,26,siGCLM,698,0.346153846,0.345596433,0.039018952,0.038461538,R1_siGCLM_0.2
153,HepG2,DMSO,0.2,1,R1,26,siKEAP1,615,0.356428022,0.351809084,0.057736721,0.057736721,R1_siKEAP1_0.2
154,HepG2,DMSO,0.2,1,R1,26,siNFE2L2,885,0.277699198,0.276284771,0.019330504,0.019330504,R1_siNFE2L2_0.2
155,HepG2,DMSO,0.2,1,R1,26,mock,806,0.245901639,0.244455159,0.035197686,0.035197686,R1_mock_0.2
156,HepG2,DMSO,0.2,1,R1,26,siKinasePool,795,0.302347418,0.299530516,0.031455399,0.030985915,R1_siKinasePool_0.2
157,HepG2,DMSO,0.2,1,R1,27,siGCLC,602,0.363255536,0.362058648,0.044883303,0.044284859,R1_siGCLC_0.2
158,HepG2,DMSO,0.2,1,R1,27,siGCLM,653,0.336374002,0.334093501,0.036488027,0.036488027,R1_siGCLM_0.2
159,HepG2,DMSO,0.2,1,R1,27,siKEAP1,638,0.357528958,0.352895753,0.061776062,0.061776062,R1_siKEAP1_0.2
160,HepG2,DMSO,0.2,1,R1,27,siNFE2L2,927,0.300880853,0.300880853,0.025034771,0.025034771,R1_siNFE2L2_0.2
161,HepG2,DMSO,0.2,1,R1,27,mock,788,0.236138614,0.235148515,0.043069307,0.043069307,R1_mock_0.2
162,HepG2,DMSO,0.2,1,R1,27,siKinasePool,780,0.323106424,0.321668265,0.035953979,0.035953979,R1_siKinasePool_0.2
163,HepG2,DMSO,0.2,1,R1,28,siGCLC,656,0.358928571,0.357142857,0.05,0.049404762,R1_siGCLC_0.2
164,HepG2,DMSO,0.2,1,R1,28,siGCLM,636,0.354556075,0.352803738,0.03796729,0.03796729,R1_siGCLM_0.2
165,HepG2,DMSO,0.2,1,R1,28,siKEAP1,611,0.383838384,0.382284382,0.055944056,0.055944056,R1_siKEAP1_0.2
166,HepG2,DMSO,0.2,1,R1,28,siNFE2L2,908,0.299429658,0.298003802,0.022813688,0.021863118,R1_siNFE2L2_0.2
167,HepG2,DMSO,0.2,1,R1,28,mock,760,0.264179104,0.263681592,0.048756219,0.048756219,R1_mock_0.2
168,HepG2,DMSO,0.2,1,R1,28,siKinasePool,788,0.333969466,0.333015267,0.036736641,0.036736641,R1_siKinasePool_0.2
169,HepG2,DMSO,0.2,1,R1,29,siGCLC,652,0.355655599,0.354530107,0.04445695,0.043894204,R1_siGCLC_0.2
170,HepG2,DMSO,0.2,1,R1,29,siGCLM,709,0.345464422,0.344378055,0.034220532,0.034220532,R1_siGCLM_0.2
171,HepG2,DMSO,0.2,1,R1,29,siKEAP1,666,0.405776173,0.405054152,0.059205776,0.059205776,R1_siKEAP1_0.2
172,HepG2,DMSO,0.2,1,R1,29,siNFE2L2,935,0.308730873,0.305130513,0.01710171,0.01710171,R1_siNFE2L2_0.2
173,HepG2,DMSO,0.2,1,R1,29,mock,808,0.250839329,0.249880096,0.036450839,0.035971223,R1_mock_0.2
174,HepG2,DMSO,0.2,1,R1,29,siKinasePool,824,0.332877337,0.330141359,0.030095759,0.030095759,R1_siKinasePool_0.2
175,HepG2,DMSO,0.2,1,R1,30,siGCLC,634,0.359317905,0.358708892,0.049330085,0.049330085,R1_siGCLC_0.2
176,HepG2,DMSO,0.2,1,R1,30,siGCLM,696,0.356164384,0.355068493,0.032328767,0.032328767,R1_siGCLM_0.2
177,HepG2,DMSO,0.2,1,R1,30,siKEAP1,647,0.399571122,0.397426733,0.060042888,0.059328091,R1_siKEAP1_0.2
178,HepG2,DMSO,0.2,1,R1,30,siNFE2L2,931,0.334582943,0.333177132,0.015932521,0.015932521,R1_siNFE2L2_0.2
179,HepG2,DMSO,0.2,1,R1,30,mock,772,0.254844961,0.253875969,0.041666667,0.041666667,R1_mock_0.2
180,HepG2,DMSO,0.2,1,R1,30,siKinasePool,798,0.361367837,0.36090573,0.033271719,0.033271719,R1_siKinasePool_0.2
181,HepG2,DMSO,0.2,1,R1,31,siGCLC,646,0.363636364,0.363026236,0.049420378,0.049420378,R1_siGCLC_0.2
182,HepG2,DMSO,0.2,1,R1,31,siGCLM,701,0.374328679,0.373791622,0.042427497,0.042427497,R1_siGCLM_0.2
183,HepG2,DMSO,0.2,1,R1,31,siKEAP1,666,0.397289586,0.397289586,0.053495007,0.053495007,R1_siKEAP1_0.2
184,HepG2,DMSO,0.2,1,R1,31,siNFE2L2,933,0.323392358,0.321994408,0.01304753,0.01304753,R1_siNFE2L2_0.2
185,HepG2,DMSO,0.2,1,R1,31,mock,773,0.276923077,0.275961538,0.050480769,0.049519231,R1_mock_0.2
186,HepG2,DMSO,0.2,1,R1,31,siKinasePool,822,0.354301573,0.352451434,0.033302498,0.033302498,R1_siKinasePool_0.2
187,HepG2,DMSO,0.2,1,R1,32,siGCLC,637,0.345454545,0.343695015,0.056304985,0.056304985,R1_siGCLC_0.2
188,HepG2,DMSO,0.2,1,R1,32,siGCLM,708,0.376086957,0.373913043,0.047282609,0.046195652,R1_siGCLM_0.2
189,HepG2,DMSO,0.2,1,R1,32,siKEAP1,655,0.385877318,0.384450785,0.054921541,0.054921541,R1_siKEAP1_0.2
190,HepG2,DMSO,0.2,1,R1,32,siNFE2L2,959,0.310947562,0.310947562,0.014719411,0.014719411,R1_siNFE2L2_0.2
191,HepG2,DMSO,0.2,1,R1,32,mock,793,0.271121718,0.270644391,0.048210024,0.047732697,R1_mock_0.2
192,HepG2,DMSO,0.2,1,R1,32,siKinasePool,805,0.358264081,0.35687904,0.041551247,0.040627886,R1_siKinasePool_0.2
193,HepG2,DMSO,0.2,1,R1,33,siGCLC,617,0.360233918,0.357894737,0.04619883,0.04619883,R1_siGCLC_0.2
194,HepG2,DMSO,0.2,1,R1,33,siGCLM,726,0.37037037,0.369848722,0.041210224,0.041210224,R1_siGCLM_0.2
195,HepG2,DMSO,0.2,1,R1,33,siKEAP1,672,0.375431332,0.37405107,0.05521049,0.05521049,R1_siKEAP1_0.2
196,HepG2,DMSO,0.2,1,R1,33,siNFE2L2,988,0.312166963,0.310834813,0.010657194,0.010657194,R1_siNFE2L2_0.2
197,HepG2,DMSO,0.2,1,R1,33,mock,784,0.258945386,0.258474576,0.048964218,0.048022599,R1_mock_0.2
198,HepG2,DMSO,0.2,1,R1,33,siKinasePool,807,0.367795059,0.36505032,0.033851784,0.033851784,R1_siKinasePool_0.2
199,HepG2,DMSO,0.2,1,R1,34,siGCLC,676,0.368362832,0.36670354,0.047013274,0.046460177,R1_siGCLC_0.2
200,HepG2,DMSO,0.2,1,R1,34,siGCLM,756,0.363773206,0.362769694,0.040140492,0.040140492,R1_siGCLM_0.2
