,compound,concentration,replicate,TimePoint,siRNA,StateVar,data4modelReal
202,DMSO,0.2,R4,4,NRF2,Apop_cells,0.141856946
203,DMSO,0.2,R4,4,NRF2,Live_cells,0.865577998
204,DMSO,0.2,R4,4,NRF2,Total_cells,1.007434944
205,DMSO,0.2,R4,5,NRF2,Apop_cells,0.160866657
206,DMSO,0.2,R4,5,NRF2,Live_cells,0.851347894
207,DMSO,0.2,R4,5,NRF2,Total_cells,1.012214551
208,DMSO,0.2,R4,6,NRF2,Apop_cells,0.172086667
209,DMSO,0.2,R4,6,NRF2,Live_cells,0.850218166
210,DMSO,0.2,R4,6,NRF2,Total_cells,1.022304833
211,DMSO,0.2,R4,7,NRF2,Apop_cells,0.199987663
212,DMSO,0.2,R4,7,NRF2,Live_cells,0.872768577
213,DMSO,0.2,R4,7,NRF2,Total_cells,1.07275624
214,DMSO,0.2,R4,8,NRF2,Apop_cells,0.219160754
215,DMSO,0.2,R4,8,NRF2,Live_cells,0.906171163
216,DMSO,0.2,R4,8,NRF2,Total_cells,1.125331917
217,DMSO,0.2,R4,9,NRF2,Apop_cells,0.24104319
218,DMSO,0.2,R4,9,NRF2,Live_cells,0.90659356
219,DMSO,0.2,R4,9,NRF2,Total_cells,1.14763675
220,DMSO,0.2,R4,10,NRF2,Apop_cells,0.264540896
221,DMSO,0.2,R4,10,NRF2,Live_cells,0.910711361
222,DMSO,0.2,R4,10,NRF2,Total_cells,1.175252257
223,DMSO,0.2,R4,11,NRF2,Apop_cells,0.280786016
224,DMSO,0.2,R4,11,NRF2,Live_cells,0.925268153
225,DMSO,0.2,R4,11,NRF2,Total_cells,1.206054169
226,DMSO,0.2,R4,12,NRF2,Apop_cells,0.288569105
227,DMSO,0.2,R4,12,NRF2,Live_cells,0.937665627
228,DMSO,0.2,R4,12,NRF2,Total_cells,1.226234732
229,DMSO,0.2,R4,13,NRF2,Apop_cells,0.309204796
230,DMSO,0.2,R4,13,NRF2,Live_cells,0.965357073
231,DMSO,0.2,R4,13,NRF2,Total_cells,1.274561869
232,DMSO,0.2,R4,14,NRF2,Apop_cells,0.327533634
233,DMSO,0.2,R4,14,NRF2,Live_cells,0.982609754
234,DMSO,0.2,R4,14,NRF2,Total_cells,1.310143388
235,DMSO,0.2,R4,15,NRF2,Apop_cells,0.337009496
236,DMSO,0.2,R4,15,NRF2,Live_cells,1.009246479
237,DMSO,0.2,R4,15,NRF2,Total_cells,1.346255975
238,DMSO,0.2,R4,16,NRF2,Apop_cells,0.354078002
