,compound,concentration,replicate,TimePoint,siRNA,StateVar,data4modelReal
364,NIT,7.5,R2,16,siKinasePool,Apop_cells,0.395538539
365,NIT,7.5,R2,16,siKinasePool,Live_cells,0.988074124
366,NIT,7.5,R2,16,siKinasePool,Total_cells,1.383612663
367,NIT,7.5,R2,17,siKinasePool,Apop_cells,0.424551803
368,NIT,7.5,R2,17,siKinasePool,Live_cells,0.943232182
369,NIT,7.5,R2,17,siKinasePool,Total_cells,1.367783985
370,NIT,7.5,R2,18,siKinasePool,Apop_cells,0.452090975
371,NIT,7.5,R2,18,siKinasePool,Live_cells,0.965041241
372,NIT,7.5,R2,18,siKinasePool,Total_cells,1.417132216
373,NIT,7.5,R2,19,siKinasePool,Apop_cells,0.486367746
374,NIT,7.5,R2,19,siKinasePool,Live_cells,0.972663911
375,NIT,7.5,R2,19,siKinasePool,Total_cells,1.459031657
376,NIT,7.5,R2,20,siKinasePool,Apop_cells,0.484582064
377,NIT,7.5,R2,20,siKinasePool,Live_cells,0.996795962
378,NIT,7.5,R2,20,siKinasePool,Total_cells,1.481378026
379,NIT,7.5,R3,0,siKinasePool,Apop_cells,NA
380,NIT,7.5,R3,0,siKinasePool,Live_cells,NA
381,NIT,7.5,R3,0,siKinasePool,Total_cells,1
382,NIT,7.5,R3,1,siKinasePool,Apop_cells,0.123051397
383,NIT,7.5,R3,1,siKinasePool,Live_cells,0.876948603
384,NIT,7.5,R3,1,siKinasePool,Total_cells,1
385,NIT,7.5,R3,2,siKinasePool,Apop_cells,0.112894879
386,NIT,7.5,R3,2,siKinasePool,Live_cells,0.879535735
387,NIT,7.5,R3,2,siKinasePool,Total_cells,0.992430614
388,NIT,7.5,R3,3,siKinasePool,Apop_cells,0.124953162
389,NIT,7.5,R3,3,siKinasePool,Live_cells,0.881775181
390,NIT,7.5,R3,3,siKinasePool,Total_cells,1.006728343
391,NIT,7.5,R3,4,siKinasePool,Apop_cells,0.141690262
392,NIT,7.5,R3,4,siKinasePool,Live_cells,0.889428325
393,NIT,7.5,R3,4,siKinasePool,Total_cells,1.031118587
394,NIT,7.5,R3,5,siKinasePool,Apop_cells,0.153670748
395,NIT,7.5,R3,5,siKinasePool,Live_cells,0.886699311
396,NIT,7.5,R3,5,siKinasePool,Total_cells,1.040370059
397,NIT,7.5,R3,6,siKinasePool,Apop_cells,0.168295249
398,NIT,7.5,R3,6,siKinasePool,Live_cells,0.900670268
399,NIT,7.5,R3,6,siKinasePool,Total_cells,1.068965517
