time,conc,sd,dose,treatment,variable,species,exposure_route,Study,Gender,Note,,,
2,0.47,0.32,100,NIT,cplasma,Human,oraldose,Wijma,Unspecified,,,,
2.5,0.6,0,100,NIT,cplasma,Human,oraldose,Wijma,Unspecified,,,,
3,0.42,0.16,100,NIT,cplasma,Human,oraldose,Wijma,Unspecified,,,,
4,0.39,0.15,100,NIT,cplasma,Human,oraldose,Wijma,Unspecified,,,,
5,0.18,0,100,NIT,cplasma,Human,oraldose,Wijma,Unspecified,,,,
6,0.07,0,100,NIT,cplasma,Human,oraldose,Wijma,Unspecified,,,,
8,0.038,0,100,NIT,cplasma,Human,oraldose,Wijma,Unspecified,,,,
1,1.58,0.62,200,NIT,cplasma,Human,oraldose,Wijma,Unspecified,,,,
2,1.08,0.13,200,NIT,cplasma,Human,oraldose,Wijma,Unspecified,,,,
3,0.88,0.3,200,NIT,cplasma,Human,oraldose,Wijma,Unspecified,,,,
0.08,0.25,0.18,10,NIT,cplasma,Rat,oraldose,Wang,Female,Extracted with WebPlotDigitizer,,,
0.25,0.288,0.19,10,NIT,cplasma,Rat,oraldose,Wang,Female,Extracted with WebPlotDigitizer,,,
0.5,0.433,0,10,NIT,cplasma,Rat,oraldose,Wang,Female,Extracted with WebPlotDigitizer,,,
1,0.584,0,10,NIT,cplasma,Rat,oraldose,Wang,Female,Extracted with WebPlotDigitizer,,,
2,1.01,0.47,10,NIT,cplasma,Rat,oraldose,Wang,Female,Extracted with WebPlotDigitizer,,,
4,0.573,0.12,10,NIT,cplasma,Rat,oraldose,Wang,Female,Extracted with WebPlotDigitizer,,,
6,0.353,0,10,NIT,cplasma,Rat,oraldose,Wang,Female,Extracted with WebPlotDigitizer,,,
8,0.231,0,10,NIT,cplasma,Rat,oraldose,Wang,Female,Extracted with WebPlotDigitizer,,,
12,0.14,0,10,NIT,cplasma,Rat,oraldose,Wang,Female,Extracted with WebPlotDigitizer,,,
0.5,72.3,32.35,150,KET,cliver,Rat,oraldose,Riley,Unspecified,,,,
1,70.97,17.53,150,KET,cliver,Rat,oraldose,Riley,Unspecified,,,,
2,90.28,11.85,150,KET,cliver,Rat,oraldose,Riley,Unspecified,,,,
4,80.39,6.63,150,KET,cliver,Rat,oraldose,Riley,Unspecified,,,,
8,55.08,4.23,150,KET,cliver,Rat,oraldose,Riley,Unspecified,,,,
24,16.22,11.16,150,KET,cliver,Rat,oraldose,Riley,Unspecified,,,,
48,0.71,1.55,150,KET,cliver,Rat,oraldose,Riley,Unspecified,,,,
